id,Aquaria,treatment,No.,PAR,F,Fm',Y(II),NPQ,ETR,rETR
88,205,Ambeint,1,0,0.053266667,0.1121,0.524333333,0,0,0
88,205,Ambeint,2,1,0.0564,0.109466667,0.484333333,0.013333333,0,0.484333333
88,205,Ambeint,3,11,0.060633333,0.108166667,0.439333333,0.016,0.333333333,4.832666667
88,205,Ambeint,4,21,0.061933333,0.1054,0.412,0.029666667,0.633333333,8.652
88,205,Ambeint,5,56,0.0626,0.100333333,0.375666667,0.044333333,1.5,21.03733333
88,205,Ambeint,6,111,0.0608,0.091333333,0.334,0.073333333,2.666666667,37.074
88,205,Ambeint,7,186,0.058666667,0.081233333,0.277333333,0.114,3.733333333,51.584
88,205,Ambeint,8,281,0.0562,0.072566667,0.224666667,0.157,4.533333333,63.13133333
88,205,Ambeint,9,336,0.0523,0.066,0.207666667,0.196,5,69.776
88,205,Ambeint,10,396,0.05,0.060933333,0.179333333,0.235333333,5.133333333,71.016
88,205,Ambeint,11,461,0.047866667,0.057033333,0.160666667,0.266666667,5.3,74.06733333
88,205,Ambeint,12,531,0.046066667,0.0536,0.140333333,0.300666667,5.366666667,74.517
88,205,Ambeint,13,611,0.043633333,0.050466667,0.136,0.334666667,5.966666667,83.096
88,205,Ambeint,14,701,0.042,0.047366667,0.113666667,0.372666667,5.733333333,79.68033333
17,222,Ambeint,1,0,0.07636,0.18362,0.5844,0.0136,0.0112,0
17,222,Ambeint,2,1,0.07988,0.17842,0.5522,0.0208,0.0368,0.5522
17,222,Ambeint,3,11,0.08684,0.1746,0.503,0.027,0.2616,5.533
17,222,Ambeint,4,21,0.08804,0.16814,0.477,0.0374,0.4496,10.017
17,222,Ambeint,5,56,0.08912,0.15678,0.4322,0.0582,1.0664,24.2032
17,222,Ambeint,6,111,0.09048,0.14302,0.3678,0.0876,1.7696,40.8258
17,222,Ambeint,7,186,0.09068,0.12912,0.2978,0.1238,2.3788,55.3908
17,222,Ambeint,8,281,0.08756,0.11618,0.2464,0.1672,2.9126,69.2384
17,222,Ambeint,9,336,0.08236,0.10468,0.2134,0.2128,2.9888,71.7024
17,222,Ambeint,10,396,0.07736,0.09548,0.19,0.2574,3.1648,75.24
17,222,Ambeint,11,461,0.07344,0.08834,0.1688,0.2972,3.3568,77.8168
17,222,Ambeint,12,531,0.07118,0.08226,0.135,0.3386,3.3512,71.685
17,222,Ambeint,13,611,0.06736,0.07734,0.13,0.3742,3.7196,79.43
17,222,Ambeint,14,701,0.0654,0.07304,0.105,0.4126,3.4094,73.605
99,114,Ambeint,1,0,0.078266667,0.1657,0.525333333,0.009333333,0,0
99,114,Ambeint,2,1,0.0791,0.165833333,0.521333333,0.009333333,0.1,0.521333333
99,114,Ambeint,3,11,0.082,0.1647,0.499666667,0.014666667,1.3,5.496333333
