colony_id,treatment,source,tank,falcon,day,status,count
1086,RCP 4.5,aquaria,115M,A,3,1,3
1086,RCP 4.5,aquaria,115M,B,3,1,1
1086,RCP 4.5,aquaria,115M,A,7,1,12
1086,RCP 4.5,aquaria,115M,B,7,1,9
1086,RCP 4.5,aquaria,115M,A,7,0,10
1086,RCP 4.5,aquaria,115M,B,7,0,15
1077,RCP 4.5,aquaria,112M,A,3,1,10
1077,RCP 4.5,aquaria,112M,B,3,1,5
1077,RCP 4.5,aquaria,112M,A,7,1,25
1077,RCP 4.5,aquaria,112M,B,7,1,35
1077,RCP 4.5,aquaria,112M,A,7,0,0
1077,RCP 4.5,aquaria,112M,B,7,0,0
1075,RCP 8.5,aquaria,119H,A,3,1,0
1075,RCP 8.5,aquaria,119H,B,3,1,7
1075,RCP 8.5,aquaria,119H,A,7,1,14
1075,RCP 8.5,aquaria,119H,B,7,1,24
1075,RCP 8.5,aquaria,119H,A,7,0,11
1075,RCP 8.5,aquaria,119H,B,7,0,1
21,RCP 4.5,aquaria,115M,A,3,1,9
21,RCP 4.5,aquaria,115M,B,3,1,5
21,RCP 4.5,aquaria,115M,A,7,1,24
21,RCP 4.5,aquaria,115M,B,7,1,25
21,RCP 4.5,aquaria,115M,A,7,0,3
21,RCP 4.5,aquaria,115M,B,7,0,15
1095,RCP 4.5,aquaria,115M,A,3,1,9
1095,RCP 4.5,aquaria,115M,B,3,1,0
1095,RCP 4.5,aquaria,115M,A,7,1,15
1095,RCP 4.5,aquaria,115M,B,7,1,25
1095,RCP 4.5,aquaria,115M,A,7,0,12
1095,RCP 4.5,aquaria,115M,B,7,0,20
sea1,RCP 8.5,sea,110H,A,3,1,3
sea1,RCP 8.5,sea,110H,B,3,1,2
sea1,RCP 8.5,sea,110H,A,7,1,12
sea1,RCP 8.5,sea,110H,B,7,1,11
sea1,RCP 8.5,sea,110H,A,7,0,22
sea1,RCP 8.5,sea,110H,B,7,0,33
sea2,RCP 4.5,sea,112M,A,3,1,2
sea2,RCP 4.5,sea,112M,B,3,1,8
sea2,RCP 4.5,sea,112M,A,7,1,10
sea2,RCP 4.5,sea,112M,B,7,1,13
sea2,RCP 4.5,sea,112M,A,7,0,35
sea2,RCP 4.5,sea,112M,B,7,0,27
sea3,Control,sea,114A,A,3,1,8
sea3,Control,sea,114A,B,3,1,1
sea3,Control,sea,114A,A,7,1,17
sea3,Control,sea,114A,B,7,1,17
sea3,Control,sea,114A,A,7,0,34
sea3,Control,sea,114A,B,7,0,35
1099,Control,aquaria,114A,A,3,1,4
1099,Control,aquaria,114A,B,3,1,4
1099,Control,aquaria,114A,A,7,1,19
1099,Control,aquaria,114A,B,7,1,23
1099,Control,aquaria,114A,A,7,0,26
1099,Control,aquaria,114A,B,7,0,22
1076,Control,aquaria,219A,A,3,1,5
1076,Control,aquaria,219A,B,3,1,5
1076,Control,aquaria,219A,A,7,1,8
1076,Control,aquaria,219A,B,7,1,5
1076,Control,aquaria,219A,A,7,0,28
1076,Control,aquaria,219A,B,7,0,40
16,Control,aquaria,219A,A,3,1,15
16,Control,aquaria,219A,B,3,1,19
16,Control,aquaria,219A,A,7,1,12
16,Control,aquaria,219A,B,7,1,8
16,Control,aquaria,219A,A,7,0,28
16,Control,aquaria,219A,B,7,0,32
