id,treatment,Aquaria,alpha,beta,ETRmax,Ek,ps,FvFm,npqMAX
17,Ambeint,222,0.247737355,0.023025795,38.23490982,154.3364742,52.54646034,0.5522,0.4126
19,RCP 8.5,110,0.155332203,2.812253521,19.77577656,127.3127925,1000,0.4132,0.6064
20,RCP 4.5,115,0.236471184,0,34.93033978,147.7149953,34.93033978,0.521,
73,RCP 4.5,112,0.100667232,0,19.71064029,195.7999619,19.71064029,0.3334,0.6196
77,RCP 4.5,112,0.216213061,0.028299125,38.56544987,178.3678089,57.83553075,0.4993333,0.28633
80,Ambeint,205,0.217266791,0,41.14281402,189.365406,41.14281402,0.3425,0.37266
82,RCP 4.5,112,0.17817205,2.777017599,22.87300146,128.3759235,1000,0.484333,0.481
89,RCP 8.5,110,0.217658467,0.025793733,29.54558554,135.7428723,43.11830938,0.5128333,0.39266
92,RCP 8.5,119,0.135153229,2.586148565,18.73798744,138.642544,1000,0.228,0.45733
99,Ambeint,114,0.234155583,0.029460801,42.37697458,180.9778524,62.85525111,0.5228,0.202
