,month,treatment,temp,sd,median,SE,count
1,5,Amb,24.32626728,0.672100484,24.36,0.032261856,434
2,5,High,26.46153485,1.144166518,26.7,0.007161258,25527
3,5,Medium,24.41036217,0.871539059,24.5,0.02764354,994
4,6,Amb,24.84790744,0.682380579,24.81,0.012496052,2982
5,6,High,27.76395956,0.668334831,27.8,0.003123162,45793
6,6,Medium,26.19564729,0.950335762,26.1,0.007510014,16013
7,7,Amb,26.53686305,0.83056614,26.7,0.012454912,4447
8,7,High,29.11688517,1.189603366,29,0.007145184,27719
9,7,Medium,27.46455211,2.07042514,27.6,0.009778348,44832
10,8,High,29.00755172,0.93265375,28.9,0.005253574,31516
11,8,Medium,27.08788714,1.969982273,26.8,0.012634063,24313
